Time,C0J0003左一轴1,C0J0003左惰轮1,C0J0003左一轴2,C0J0003左二轴(前),C0J0003左二轴(后),C0J0003左惰轮2,C0J0003左惰轮3,C0J0003左中心齿轮,C0J0003左行星头,C0J0003左壳体
2024/12/14 09:03:15.623,16.9,16.7,13.6,13.5,15.8,14.2,12.9,16.8,16.3,841.5
2024/12/14 09:03:45.618,17.5,17.3,13.8,13.7,16.4,14.5,13,17.4,16.3,841.5
2024/12/14 09:04:16.819,18.2,18,14.2,14,17,14.8,13,18.1,16.3,841.5
2024/12/14 09:04:46.822,18.8,18.7,14.6,14.2,17.5,15.1,13.1,18.8,16.3,841.5
2024/12/14 09:05:17.422,19.4,19.4,14.9,14.5,18.1,15.5,13.1,19.6,16.4,841.5
2024/12/14 09:05:47.423,20,20,15.3,14.8,18.6,15.8,13.2,20.4,16.4,841.5
2024/12/14 09:06:17.418,20.6,20.6,15.7,15.1,19.1,16.1,13.3,21.1,16.5,841.5
2024/12/14 09:06:47.422,21,21.1,16,15.4,19.6,16.5,13.4,21.6,16.5,841.5
2024/12/14 09:07:17.419,21.3,21.5,16.5,15.8,20,16.8,13.5,22,16.5,841.5
2024/12/14 09:07:47.423,21.4,21.6,16.8,16.1,20.2,17.1,13.6,22,16.6,841.5
2024/12/14 09:08:17.820,21.5,21.7,17.1,16.4,20.3,17.3,13.6,22,16.6,841.5
2024/12/14 09:08:47.823,21.5,21.8,17.5,16.7,20.5,17.6,13.7,22,16.6,841.5
2024/12/14 09:09:17.818,21.4,21.6,17.7,17,20.5,17.8,13.7,21.9,16.6,841.5
2024/12/14 09:09:47.818,21.3,21.6,18,17.3,20.6,18,13.8,21.6,16.5,841.5
2024/12/14 09:10:17.823,21.3,21.5,18.1,17.5,20.6,18.1,13.8,21.3,16.5,841.5
2024/12/14 09:10:47.823,21.1,21.3,18.2,17.7,20.5,18.2,13.8,21,16.5,841.5
2024/12/14 09:11:18.223,21,21.3,18.4,17.9,20.5,18.3,13.8,20.8,16.5,841.5
2024/12/14 09:11:48.223,20.9,21.1,18.2,17.8,20.4,18.2,13.9,20.6,16.5,841.5
2024/12/14 09:12:18.223,20.8,21.1,17.2,16.8,19.8,16.6,13.8,20.5,16.5,841.5
2024/12/14 09:12:48.217,20.7,21,16.6,16.3,19.5,16.2,13.8,20.4,16.5,841.5
2024/12/14 09:13:18.227,20.6,21,16.1,16,19.4,15.9,13.7,20.3,16.5,841.5
2024/12/14 09:13:48.222,20.5,20.9,15.7,15.8,19.2,15.6,13.7,20,16.5,841.5
2024/12/14 09:14:18.626,20.4,20.9,15.4,15.5,19.1,15.4,13.8,19.8,16.5,841.5
2024/12/14 09:14:48.623,20.3,20.8,15.2,15.4,19,15.3,13.8,19.8,16.5,841.5
2024/12/14 09:15:18.618,20.2,20.8,15,15.3,18.9,15.1,13.8,19.8,16.6,841.5
2024/12/14 09:15:48.623,20.1,20.7,14.8,15.2,18.8,15,13.9,19.8,16.6,841.5
2024/12/14 09:16:18.618,20,20.7,14.7,15.1,18.8,15,13.9,19.6,16.7,841.5
2024/12/14 09:16:48.619,20,20.6,14.6,15,18.8,14.8,14,19.5,16.8,841.5
2024/12/14 09:17:19.218,19.8,20.6,14.5,15,18.7,14.8,14,19.3,16.8,841.5
2024/12/14 09:17:49.223,19.7,20.6,14.4,15,18.6,14.8,14,19.1,16.8,841.5
2024/12/14 09:18:19.219,19.7,20.5,14.3,14.9,18.6,14.7,14,19.1,16.8,841.5
2024/12/14 09:18:49.217,19.6,20.5,14.3,14.8,18.6,14.7,14.1,19.1,16.8,841.5
2024/12/14 09:19:19.217,19.5,20.4,14.2,14.8,18.5,14.7,14.1,19,16.8,841.5
2024/12/14 09:19:49.222,19.5,20.3,14.2,14.8,18.5,14.6,14.1,19,16.9,841.5
2024/12/14 09:20:19.619,19.4,20.3,14.2,14.8,18.5,14.6,14.1,19,16.9,841.5
2024/12/14 09:20:49.623,19.3,20.3,14.1,14.8,18.5,14.6,14.1,18.9,17,841.5
2024/12/14 09:21:19.623,19.3,20.2,14.1,14.8,18.5,14.6,14.1,18.9,17,841.5
2024/12/14 09:21:49.624,19.2,20.2,14.1,14.8,18.5,14.6,14.2,18.8,17,841.5
2024/12/14 09:22:19.623,19.1,20.1,14.1,14.8,18.5,14.6,14.2,18.8,17.1,841.5
2024/12/14 09:22:49.616,19.1,20.1,14.1,14.8,18.4,14.6,14.2,18.6,17.1,841.5
2024/12/14 09:23:20.224,19.1,20.1,14.1,14.8,18.4,14.6,14.2,18.5,17.1,841.5
2024/12/14 09:23:50.223,19,20,14,14.8,18.3,14.6,14.2,18.4,17.1,841.5
2024/12/14 09:24:20.223,19,20,14.1,14.8,18.3,14.6,14.2,18.3,17.1,841.5
2024/12/14 09:24:50.223,19,20,14,14.8,18.2,14.6,14.3,18.2,17.1,841.5
2024/12/14 09:25:20.223,18.9,20,14.1,14.8,18.1,14.6,14.3,18.2,17.1,841.5
2024/12/14 09:26:10.223,18.8,19.8,14.1,14.9,18.1,14.6,14.3,18.1,17.2,841.5
2024/12/14 09:28:57.418,20.6,21.4,19.3,18,20.6,17.3,14.7,19.4,17.3,841.5
2024/12/14 09:29:27.418,21.1,22,19.8,18.3,21,17.6,14.8,19.9,17.3,841.5
2024/12/14 09:29:57.423,21.6,22.5,20.3,18.6,21.5,18,14.8,20.5,17.3,841.5
2024/12/14 09:30:27.482,22.1,23,20.7,19,21.9,18.3,14.9,21.1,17.3,841.5
2024/12/14 09:31:04.623,22.6,23.5,21,19.3,22.5,18.5,14.9,21.1,17.3,841.5
2024/12/14 09:32:05.023,23.5,24.1,21.3,19.7,23.2,19,14.9,21.5,17.3,841.5
2024/12/14 09:32:35.024,23.8,24.5,21.5,20,23.6,19.1,14.9,21.8,17.2,841.5
2024/12/14 09:33:05.026,24.2,24.8,21.8,20.1,24,19.3,15,22.3,17.2,841.5
2024/12/14 09:33:35.023,24.6,25.2,22.1,20.3,24.4,19.5,15,22.8,17.2,841.5
2024/12/14 09:34:05.023,25,25.6,22.4,20.6,24.8,19.7,15,23.1,17.3,841.5
2024/12/14 09:34:35.018,25.4,26,22.7,20.9,25.3,20,15.1,23.6,17.3,841.5
2024/12/14 09:35:05.623,25.8,26.4,23,21.2,25.7,20.1,15.1,24.1,17.3,841.5
2024/12/14 09:35:35.624,26.1,26.8,23.3,21.5,26.1,20.3,15.3,24.3,17.3,841.5
2024/12/14 09:36:05.623,26.5,27.1,23.7,21.7,26.5,20.6,15.4,24.7,17.3,841.5
2024/12/14 09:36:35.623,26.8,27.6,24,22,26.9,20.8,15.5,25.1,17.3,841.5
2024/12/14 09:37:05.617,27.1,28,24.3,22.3,27.3,21.1,15.6,25.4,17.3,841.5
2024/12/14 09:37:35.623,27.5,28.3,24.6,22.6,27.6,21.3,15.7,25.8,17.3,841.5
2024/12/14 09:38:06.224,27.8,28.6,25.1,22.9,28,21.5,15.8,26.2,17.3,841.5
2024/12/14 09:38:36.223,28.2,29,25.4,23.1,28.3,21.8,16,26.6,17.4,841.5
2024/12/14 09:39:06.224,28.5,29.3,25.8,23.5,28.6,22,16.1,27,17.5,841.5
2024/12/14 09:39:36.220,28.8,29.6,26.1,23.8,29,22.3,16.2,27.1,17.5,841.5
2024/12/14 09:40:06.226,29.1,29.9,26.4,24.1,29.3,22.5,16.4,27.3,17.5,841.5
2024/12/14 09:40:36.217,29.4,30.2,26.7,24.4,29.6,22.8,16.5,27.5,17.5,841.5
2024/12/14 09:41:06.823,29.6,30.5,27,24.7,29.9,23,16.6,27.7,17.6,841.5
2024/12/14 09:41:36.818,29.9,30.8,27.4,25,30.2,23.3,16.8,28,17.6,841.5
2024/12/14 09:42:06.823,30.1,31,27.6,25.3,30.5,23.5,16.9,28.1,17.7,841.5
2024/12/14 09:42:36.819,30.4,31.1,28,25.7,30.6,23.8,17,28.3,17.8,841.5
2024/12/14 09:43:06.819,30.5,31.3,28.3,26,30.8,24,17.1,28.4,18,841.5
2024/12/14 09:43:36.819,30.8,31.5,28.7,26.4,31,24.3,17.2,28.6,18.1,841.5
2024/12/14 09:44:07.423,31,31.6,29,26.7,31.1,24.6,17.3,28.8,18.2,841.5
2024/12/14 09:44:37.419,31.1,31.9,29.3,27,31.3,24.8,17.5,28.8,18.3,841.5
2024/12/14 09:45:07.417,31.4,32.1,29.6,27.3,31.5,25,17.6,29,18.5,841.5
2024/12/14 09:45:37.423,31.6,32.4,29.9,27.6,31.8,25.3,17.8,29.1,18.6,841.5
2024/12/14 09:46:07.423,31.8,32.6,30.1,28,32,25.5,17.9,29.4,18.6,841.5
2024/12/14 09:46:37.423,32,32.8,30.5,28.2,32.3,25.8,18.1,29.6,18.8,841.5
2024/12/14 09:47:07.823,32.1,32.9,30.8,28.5,32.5,26.1,18.3,29.7,18.9,841.5
2024/12/14 09:47:37.823,32.3,33.1,31.1,28.8,32.7,26.3,18.4,29.8,19,841.5
2024/12/14 09:48:07.823,32.5,33.3,31.3,29.1,32.9,26.5,18.5,29.8,19.1,841.5
2024/12/14 09:48:37.823,32.7,33.5,31.6,29.3,33.1,26.8,18.7,30,19.1,841.5
2024/12/14 09:49:07.823,32.9,33.7,31.8,29.6,33.3,27,18.9,30.2,19.3,841.5
2024/12/14 09:49:37.820,33,33.8,32.1,29.8,33.6,27.2,19.1,30.1,19.3,841.5
2024/12/14 09:50:08.223,33.2,34,32.3,30.1,33.8,27.5,19.3,30.2,19.4,841.5
2024/12/14 09:50:38.224,33.4,34.2,32.5,30.2,34.1,27.6,19.4,30.3,19.4,841.5
2024/12/14 09:51:08.224,33.5,34.3,32.6,30.5,34.3,27.8,19.6,30.3,19.4,841.5
2024/12/14 09:51:38.224,33.6,34.5,32.9,30.6,34.5,28,19.8,30.3,19.5,841.5
2024/12/14 09:52:08.223,33.8,34.6,33.1,30.8,34.7,28.2,20,30.4,19.6,841.5
